<frozen importlib._bootstrap>:488: RuntimeWarning: to-Python converter for pinocchio::python::DeprecatedBool already registered; second conversion method ignored.
Device: cuda
PyTorch: 2.11.0+cu128
加载数据...
  合并额外数据: 85 episodes
  合并合成训练数据: 80000 样本
  训练: 149979 样本 (164 episodes)
  验证: 7599 样本 (20 episodes)
  测试: 10011 样本 (21 episodes)
加载 FK 引擎...
模型参数: 217,164

训练 10000 epochs ... 目标: 关节角误差 < 0.1°
 Epoch | Train Loss |   Val Loss | Joint(°) | FK Pos(mm) | FK Ori(rad) | Time
--------------------------------------------------------------------------------
     1 |   0.414788 |   0.007603 |    3.702 |     26.851 |     0.0813 | 1.0s
     2 |   0.243814 |   0.004558 |    2.801 |     20.950 |     0.0663 | 0.8s
     3 |   0.214124 |   0.004386 |    2.666 |     20.716 |     0.0608 | 0.8s
     4 |   0.199710 |   0.003848 |    2.586 |     18.726 |     0.0609 | 0.8s
     5 |   0.190264 |   0.003356 |    2.393 |     17.141 |     0.0533 | 0.8s
     6 |   0.184460 |   0.003124 |    2.336 |     18.426 |     0.0569 | 0.8s
     7 |   0.180636 |   0.002643 |    2.136 |     16.576 |     0.0516 | 0.8s
     8 |   0.177142 |   0.002700 |    2.139 |     16.994 |     0.0506 | 0.9s
     9 |   0.173859 |   0.002833 |    2.224 |     17.085 |     0.0501 | 0.8s
    10 |   0.171533 |   0.002713 |    2.166 |     17.583 |     0.0510 | 0.8s
    11 |   0.169967 |   0.002572 |    2.110 |     18.437 |     0.0512 | 0.8s
    12 |   0.168538 |   0.002541 |    2.137 |     16.101 |     0.0486 | 0.8s
    13 |   0.166184 |   0.002367 |    2.056 |     16.675 |     0.0474 | 0.8s
    14 |   0.164629 |   0.002459 |    2.048 |     17.199 |     0.0499 | 0.8s
    15 |   0.163914 |   0.002144 |    1.965 |     16.097 |     0.0472 | 0.8s
    16 |   0.162424 |   0.002446 |    2.119 |     15.689 |     0.0526 | 0.8s
    17 |   0.160975 |   0.002171 |    1.946 |     16.267 |     0.0472 | 0.8s
    18 |   0.159776 |   0.002201 |    1.960 |     15.487 |     0.0474 | 0.8s
    19 |   0.158800 |   0.002211 |    2.046 |     16.888 |     0.0521 | 0.8s
    20 |   0.157863 |   0.002125 |    1.957 |     15.248 |     0.0454 | 0.8s
    21 |   0.156915 |   0.002308 |    2.041 |     16.058 |     0.0437 | 0.8s
    22 |   0.156106 |   0.002479 |    2.071 |     16.663 |     0.0531 | 0.8s
    23 |   0.155346 |   0.001946 |    1.842 |     15.991 |     0.0478 | 0.8s
    24 |   0.154933 |   0.002015 |    1.861 |     15.833 |     0.0485 | 0.8s
    25 |   0.154544 |   0.002087 |    1.919 |     16.237 |     0.0471 | 0.8s
    26 |   0.153606 |   0.002079 |    1.943 |     15.866 |     0.0439 | 0.8s
    27 |   0.152990 |   0.002200 |    1.908 |     15.166 |     0.0448 | 0.8s
    28 |   0.152113 |   0.002061 |    1.890 |     15.721 |     0.0499 | 0.8s
    29 |   0.151242 |   0.002252 |    2.016 |     15.078 |     0.0484 | 0.8s
    30 |   0.150888 |   0.002380 |    1.983 |     15.807 |     0.0492 | 0.8s
    31 |   0.150996 |   0.002082 |    1.890 |     14.930 |     0.0444 | 0.8s
    32 |   0.150761 |   0.002020 |    1.841 |     14.372 |     0.0454 | 0.8s
    33 |   0.149608 |   0.002194 |    1.940 |     15.305 |     0.0442 | 0.8s
    34 |   0.149276 |   0.001966 |    1.828 |     14.482 |     0.0456 | 0.8s
    35 |   0.148300 |   0.002162 |    1.936 |     15.632 |     0.0465 | 0.8s
    36 |   0.148312 |   0.002129 |    1.952 |     15.405 |     0.0462 | 0.8s
    37 |   0.147621 |   0.002067 |    1.884 |     15.851 |     0.0456 | 0.8s
    38 |   0.147330 |   0.002174 |    1.934 |     15.934 |     0.0470 | 0.8s
    39 |   0.147019 |   0.002195 |    1.945 |     15.330 |     0.0489 | 0.8s
    40 |   0.146326 |   0.002110 |    1.866 |     15.608 |     0.0469 | 0.8s
    41 |   0.146463 |   0.002072 |    1.834 |     13.775 |     0.0466 | 0.8s
    42 |   0.145878 |   0.001973 |    1.879 |     15.051 |     0.0437 | 0.8s
    43 |   0.145404 |   0.002071 |    1.874 |     14.828 |     0.0438 | 0.8s
    44 |   0.144928 |   0.002003 |    1.834 |     15.301 |     0.0474 | 0.8s
    45 |   0.144851 |   0.002144 |    1.934 |     15.406 |     0.0488 | 0.8s
    46 |   0.144462 |   0.002157 |    1.956 |     16.486 |     0.0462 | 0.8s
    47 |   0.144279 |   0.002339 |    2.009 |     16.276 |     0.0488 | 0.8s
    48 |   0.144276 |   0.002221 |    1.978 |     14.433 |     0.0491 | 0.8s
    49 |   0.144038 |   0.002475 |    2.069 |     15.675 |     0.0514 | 0.8s
    50 |   0.143331 |   0.002186 |    1.987 |     15.882 |     0.0485 | 0.8s
    51 |   0.139765 |   0.001902 |    1.836 |     14.789 |     0.0465 | 0.8s
    52 |   0.138878 |   0.001880 |    1.826 |     14.747 |     0.0457 | 0.9s
    53 |   0.138509 |   0.001998 |    1.902 |     14.965 |     0.0470 | 0.8s
    54 |   0.138560 |   0.002085 |    1.916 |     14.719 |     0.0459 | 0.8s
    55 |   0.137824 |   0.001993 |    1.852 |     14.666 |     0.0443 | 0.8s
    56 |   0.137847 |   0.001948 |    1.879 |     15.390 |     0.0457 | 0.8s
    57 |   0.137394 |   0.001990 |    1.882 |     14.636 |     0.0444 | 0.8s
    58 |   0.137449 |   0.002048 |    1.889 |     15.248 |     0.0471 | 0.8s
    59 |   0.137010 |   0.001761 |    1.756 |     14.993 |     0.0433 | 0.8s
    60 |   0.136763 |   0.002057 |    1.909 |     14.599 |     0.0450 | 0.8s
    61 |   0.136665 |   0.002027 |    1.921 |     15.051 |     0.0456 | 0.8s
    62 |   0.136754 |   0.001906 |    1.818 |     14.704 |     0.0465 | 0.8s
    63 |   0.136812 |   0.001856 |    1.823 |     14.981 |     0.0446 | 0.8s
    64 |   0.136242 |   0.002012 |    1.942 |     15.500 |     0.0462 | 0.8s
    65 |   0.136016 |   0.001959 |    1.876 |     14.989 |     0.0449 | 0.8s
    66 |   0.136361 |   0.001925 |    1.873 |     15.316 |     0.0464 | 0.9s
    67 |   0.136037 |   0.001893 |    1.844 |     14.630 |     0.0464 | 0.8s
    68 |   0.135687 |   0.001958 |    1.877 |     15.505 |     0.0433 | 0.8s
    69 |   0.135726 |   0.002126 |    1.980 |     16.151 |     0.0462 | 0.8s
    70 |   0.135610 |   0.002054 |    1.936 |     15.522 |     0.0456 | 0.8s
    71 |   0.135250 |   0.002157 |    1.944 |     14.745 |     0.0450 | 0.8s
    72 |   0.135389 |   0.001954 |    1.866 |     14.814 |     0.0447 | 0.8s
    73 |   0.135043 |   0.001992 |    1.881 |     15.166 |     0.0460 | 0.9s
